DA,Nom,Prénom,Programme,Courriel
1234579,Boucher,Charles,506.A0,charles.boucher@college.qc.ca
1234582,Cissé,Fatou,410.B0,fatou.cisse@college.qc.ca
1234585,Côté,Florence,200.B1,florence.cote@college.qc.ca
1234588,Diallo,Olivier,300.M1,olivier.diallo@college.qc.ca
1234591,Dubé,Samuel,410.D0,samuel.dube@college.qc.ca
1234594,Fortin,Nathan,410.D0,nathan.fortin@college.qc.ca
1234597,Gagnon,Léa,506.A0,lea.gagnon@college.qc.ca
1234600,Lavoie,Emma,200.B1,emma.lavoie@college.qc.ca
1234603,Nguyen,Minh,300.M1,minh.nguyen@college.qc.ca
1234606,Roy,Thomas,410.B0,thomas.roy@college.qc.ca
